variable_url,title,periodicity,description,keywords,license,dateCreated,dateModified,datePublished,creator_name,creator_contactType,creator_telephone,distribution_encodingFormat,distribution_contentUrl,periodicty
https://www.data.go.kr/data/15068973/fileData.do,한국전력공사_PowerPartnerPrimeVoice_대용량고객정보표준문서정보및기술지원,,PowerPartnerPrimeVoice_대용량고객정보표준문서정보및기술지원 일반 정보입니다. 대용량정보 표준문서 정보 및 기술지원에 대한 정보를 얻으실 수 있습니다.,"대용량고객,표준문서,기술지원",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-10-07,2021-03-23,2020-10-07,한국전력공사,디지털변환처,0613456846,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002371849&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
https://www.data.go.kr/data/15066549/fileData.do,한국전력공사_홈페이지 검색어,,한국전력공사 홈페이지를 통해 고객분들께서 검색한 검색어의 조회수 정보입니다. 이 정보를 통해 한국전력공사를 이용하는 다른 고객분들이 어떤 정보에 관심이 있는지 확인하고 많이 검색한 유용한 정보에 대해 확인할 수 있도록 도움이 됩니다.,"홈페이지,검색어,조회수",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-09-22,2021-03-23,2020-09-22,한국전력공사,디지털변환처,0613456846,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002371955&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
https://www.data.go.kr/data/15069017/fileData.do,한국전력공사_PowerPartnerPrimeVoice_기술표준관리시스템2,,"대용량고객 기술표준 관련 시스템명, 장치명, 분류, 교육목적, 관련근거, 기술기준, 개요, 제목, 내용으로 각각에 대한 정보를 얻으실 수 있으십니다.","대용량고객,직거래수용가,기술자료",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-10-08,2021-03-23,2020-10-08,한국전력공사,디지털변환처,0613456846,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002374990&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
https://www.data.go.kr/data/15068971/fileData.do,한국전력공사_PowerPartnerPrimeVoice_대용량고객정보일반정보,,"대용량 일반정보로 대분류 중분류별 파일이름과 해당 담당 본부, 파일 첨부형태 파일이름 과 해당 내용의 타이틀을 확인하실 수 있으십니다.","대용량고객정보,본부별 파일이름,내용 타이틀",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-10-07,2021-03-23,2020-10-07,한국전력공사,디지털변환처,0613456846,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002374991&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
https://www.data.go.kr/data/3079744/fileData.do,경기도 고양시_하천현황,,"경기도 고양시 하천현황에 대한 데이터로 경기도 고양시 하천구분, 하천명, 시점, 종점, 유로연장, 고시연장, 개수연장, 자료제공부서 등의 항목을 제공합니다.","하천,지방하천,하천연장",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-03-16,2021-03-23,2020-03-16,경기도 고양시,노인복지과,03180753278,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002374865&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15073440/fileData.do,대전광역시_대표축제 현황,,"2021년도 대전광역시 대표축제에 대한 축제명, 장소, 축제소개, 문의전화 등 현황 간략 자료 입니다.  - 2021년 축제현황 최우수 : 대전국제와인페스티벌, 계족산맨발축제, 효문화뿌리축제 우수 : 사이언스페스티벌, 유성온천문화축제, 대덕뮤직페스티벌, 서구힐링아트페스티벌 육성 : 대청호벚꽃축제, 국화페스티벌, 토토즐페스티벌, 디쿠페스티벌","대전시,축제,대표축제",https://data.go.kr/ugs/selectPortalPolicyView.do,2020-11-11,2021-03-22,2020-11-11,대전광역시,관광마케팅과,0422703976,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002372417&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15060645/fileData.do,양산시시설관리공단_체육시설_웅상문화체육센터_이용현황,,"양산시 웅상문화체육센터 및 웅상체육공원, 서창운동장의 시설 이용현황 (웅상문화체육센터 및 서창운동장 이용인원 및 이용금액)","운동장,체육관,공연장",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-22,2021-03-22,2021-03-22,양산시시설관리공단,경영지원팀,0553798515,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002374585&fileDetailSn=1&insertDataPrcus=N,월간
https://www.data.go.kr/data/15063989/fileData.do,양산시시설관리공단_공공폐수처리시설_운영현황,,"양산시 공공폐수처리시설의 유입수질 및 방류 수질에 대한 정보 제공 (BOD, COD, SS, T-N, T-P 유입, 방류량)","폐수처리,폐수유입,방류수질",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-22,2021-03-22,2021-03-22,양산시시설관리공단,경영지원팀,0553798515,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002374569&fileDetailSn=1&insertDataPrcus=N,월간
https://www.data.go.kr/data/15077991/fileData.do,대전광역시_종이팩 재활용 현황,,2020년도 대전광역시 자치구별 종이팩 수거현황 및 수거량(kg)을 인구수로 나누어 산정한 1인당 종이팩 분리배출량(kg/일)에 관한 자료임.,"종이팩,수거,분리배출",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-22,2021-03-22,2021-03-22,대전광역시,자원순환과,0422705632,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002374437&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15077812/fileData.do,대전광역시_농촌폐비닐 수거실적,,"대전광역시 2020년 농촌폐비닐 자치구별 수거현황에 대한 데이터로 1월부터 12월까지 자치구별(동구, 중구, 서구, 유성구, 대덕구)농촌폐비닐 수거량(kg)을 집계함. ","영농폐기물,농촌폐비닐,분리배출",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-22,2021-03-22,2021-03-22,대전광역시,자원순환과,0422705632,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002374436&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/3037683/fileData.do,세종특별자치시_CCTV,,"세종시 설치된  cctv현황 및 위치 정보입니다   - (제공정보) 관리기관명, 소재지지번주소, 설치목적구분, 카메라대수, 카메라화소수, 촬영방면정보, 보관일수,                          관리기관전화번호,  위도, 경도 ","영상정보,카메라,방범용카메라",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-17,2022-08-23,2021-03-17,세종특별자치시,정보통계담당관,0443002415,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002592459&fileDetailSn=1&insertDataPrcus=N,연간
https://www.data.go.kr/data/15077964/fileData.do,법무부_제주 무사증 예멘 입국자 현황,,"2017년  무사증 제도를 이용하여 제주도에 입국한 예멘인  월별  자료로  제공 항목은 년월, 국가 ,입국자수  입니다.  *민원인 요청으로 개방하는 자료임.","무사증,제주도,입국자",https://data.go.kr/ugs/selectPortalPolicyView.do,2021-03-19,2021-03-19,2021-03-19,법무부,정보화데이터담당관실,0221103492,csv,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002374317&fileDetailSn=1&insertDataPrcus=N,수시 (1회성 데이터)
